# h_0	g	delta_effc	 omega
1.0	0	-5.5213579e-02	7.6386038e-01
1.0	1	-4.5415250e-02	7.2404558e-01
1.0	2	-2.9833161e-02	6.7251254e-01
1.0	3	-1.0621667e-02	6.1465192e-01
1.0	4	9.4591244e-03	5.5439318e-01
1.0	5	2.7777990e-02	4.9421942e-01
1.0	6	4.2387209e-02	4.3560948e-01
1.0	7	5.2278074e-02	3.7952055e-01
1.0	8	5.7350944e-02	3.2670429e-01
1.0	9	5.8192058e-02	2.7782282e-01
1.0	10	5.5773147e-02	2.3342865e-01
1.0	11	5.1172041e-02	1.9389684e-01
1.0	12	4.5371891e-02	1.5937452e-01
1.0	13	3.9153793e-02	1.2977525e-01
1.0	14	3.3067560e-02	1.0481474e-01
1.0	15	2.7452755e-02	8.4069635e-02
1.0	16	2.2483172e-02	6.7040541e-02
1.0	17	1.8215679e-02	5.3206113e-02
1.0	18	1.4632955e-02	4.2062678e-02
1.0	19	1.1676196e-02	3.3149002e-02
1.0	20	9.2677922e-03	2.6058767e-02
1.0	21	7.3257155e-03	2.0444184e-02
1.0	22	5.7718115e-03	1.6013954e-02
1.0	23	4.5359604e-03	1.2528098e-02
1.0	24	3.5576431e-03	9.7914058e-03
1.0	25	2.7859960e-03	7.6466278e-03
1.0	26	2.1790721e-03	5.9680482e-03
1.0	27	1.7027523e-03	4.6557454e-03
1.0	28	1.3295681e-03	3.6306592e-03
1.0	29	1.0375753e-03	2.8304551e-03
1.0	30	8.0934502e-04	2.2061198e-03
2.5	0	-4.7805564e-01	2.4538854e-01
2.5	1	-3.5997673e-01	2.1020418e-01
2.5	2	-2.2285714e-01	1.8223167e-01
2.5	3	-7.7040677e-02	1.6088554e-01
2.5	4	6.8553168e-02	1.4497467e-01
2.5	5	2.0649957e-01	1.3315968e-01
2.5	6	3.3071807e-01	1.2417684e-01
2.5	7	4.3634197e-01	1.1692702e-01
2.5	8	5.1970790e-01	1.1050680e-01
2.5	9	5.7846944e-01	1.0422251e-01
2.5	10	6.1177318e-01	9.7599715e-02
2.5	11	6.2039549e-01	9.0385224e-02
2.5	12	6.0673093e-01	8.2533348e-02
2.5	13	5.7455785e-01	7.4171319e-02
2.5	14	5.2858038e-01	6.5545519e-02
2.5	15	4.7383007e-01	5.6957737e-02
2.5	16	4.1506469e-01	4.8704531e-02
2.5	17	3.5629833e-01	4.1031415e-02
2.5	18	3.0054132e-01	3.4107895e-02
2.5	19	2.4975439e-01	2.8022650e-02
2.5	20	2.0496463e-01	2.2793380e-02
2.5	21	1.6646877e-01	1.8384227e-02
2.5	22	1.3405684e-01	1.4724726e-02
2.5	23	1.0721222e-01	1.1726430e-02
2.5	24	8.5267568e-02	9.2955007e-03
2.5	25	6.7513681e-02	7.3411413e-03
2.5	26	5.3267642e-02	5.7804861e-03
2.5	27	4.1910109e-02	4.5408885e-03
2.5	28	3.2901399e-02	3.5604704e-03
2.5	29	2.5784267e-02	2.7876328e-03
2.5	30	2.0179127e-02	2.1800274e-03
4.0	0	-8.6714113e-01	5.6840453e-02
4.0	1	-6.2263910e-01	4.6425364e-02
4.0	2	-3.7424017e-01	3.9048280e-02
4.0	3	-1.2756721e-01	3.3975042e-02
4.0	4	1.1347016e-01	3.0602943e-02
4.0	5	3.4595917e-01	2.8464168e-02
4.0	6	5.6745132e-01	2.7202289e-02
4.0	7	7.7558852e-01	2.6543179e-02
4.0	8	9.6785837e-01	2.6270377e-02
4.0	9	1.1414579e+00	2.6207821e-02
4.0	10	1.2932589e+00	2.6209469e-02
4.0	11	1.4198794e+00	2.6154035e-02
4.0	12	1.5178752e+00	2.5943105e-02
4.0	13	1.5840595e+00	2.5501316e-02
4.0	14	1.6159437e+00	2.4777725e-02
4.0	15	1.6122555e+00	2.3747627e-02
4.0	16	1.5734419e+00	2.2413941e-02
4.0	17	1.5020244e+00	2.0807054e-02
4.0	18	1.4026637e+00	1.8981985e-02
4.0	19	1.2818428e+00	1.7012271e-02
4.0	20	1.1471849e+00	1.4980971e-02
4.0	21	1.0065494e+00	1.2970353e-02
4.0	22	8.6712742e-01	1.1052437e-02
4.0	23	7.3475010e-01	9.2823708e-03
4.0	24	6.1353247e-01	7.6955950e-03
4.0	25	5.0585575e-01	6.3085693e-03
4.0	26	4.1260105e-01	5.1219809e-03
4.0	27	3.3351241e-01	4.1250844e-03
