# h_0	g	iX	iY	
1.0	0	4.163336342344336410e-17	2.938677525021296937e-17
1.0	1	6.938893903907228378e-17	4.514451798042844963e-17
1.0	2	6.162975822039154730e-33	5.795085290206985364e-18
1.0	3	3.469446951953613573e-17	6.243373915931094850e-17
1.0	4	-1.387778780781447524e-17	-5.343396392951655381e-17
1.0	5	6.245004513516503075e-17	8.751330236918535370e-18
1.0	6	-7.703719777548943412e-34	3.606282821072331745e-17
1.0	7	-6.938893903907214511e-18	7.291031362424506081e-17
1.0	8	2.428612866367530548e-17	-5.869507383710657879e-18
1.0	9	3.816391647148974991e-17	-2.672684153559455570e-17
1.0	10	1.040834085586083948e-17	6.658269531745034578e-17
1.0	11	2.949029909160571444e-17	-3.341672067950696792e-17
1.0	12	2.428612866367528700e-17	-2.970269164629943812e-18
1.0	13	2.428612866367530240e-17	-4.426747476361328866e-17
1.0	14	2.341876692568688653e-17	4.727257462180408349e-18
1.0	15	-1.127570259384924765e-17	-4.092562709214991881e-17
1.0	16	4.770489558936203486e-17	5.111434252845414591e-17
1.0	17	8.239936510889861432e-18	6.082063614145650287e-17
1.0	18	4.206704429243741180e-17	3.542971762643697290e-17
1.0	19	9.974659986866602274e-18	1.705392136898463976e-17
1.0	20	5.247538514829792773e-17	5.940239429788807162e-17
1.0	21	2.081668171172159577e-17	5.806732293073458771e-18
1.0	22	-1.387778780781437818e-17	2.424574663215449320e-17
1.0	23	-4.889751797909710663e-17	-6.067795184288229826e-17
1.0	24	2.612927235690026243e-17	4.404213371995021824e-17
1.0	25	-3.469446951953648085e-17	1.471136654158549475e-17
1.0	26	1.160096324559478651e-17	1.093555795808725262e-17
1.0	27	1.604619215278525608e-17	2.435319965452814485e-17
1.0	28	-9.161508357502410778e-18	2.537720972933297858e-17
1.0	29	1.840433187794197395e-17	-4.756869082873610804e-17
1.0	30	6.776263578034355720e-18	-1.476171120279671594e-17
2.5	0	-3.469446951953612956e-17	-2.540854435261646600e-17
2.5	1	1.734723475976817571e-17	-4.706932571153717039e-18
2.5	2	4.336808689942020818e-17	1.609642718991112392e-17
2.5	3	-4.336808689942016503e-17	3.652809973573289924e-18
2.5	4	-8.673617379884035472e-18	-2.723878873462714932e-17
2.5	5	5.204170427930429295e-17	-4.213806382587510971e-17
2.5	6	1.301042606982605321e-17	-4.079121066185660172e-18
2.5	7	3.469446951953621584e-17	-5.376477942957029105e-17
2.5	8	3.903127820947818428e-17	-6.354055081037007185e-18
2.5	9	2.157041537713704155e-32	-4.684732728058482881e-17
2.5	10	-4.336808689941996166e-18	-6.311048025892201318e-17
2.5	11	1.734723475976808943e-17	-4.368293910667096863e-17
2.5	12	3.252606517456518232e-17	-6.142227127957218202e-17
2.5	13	-2.602085213965213107e-17	-2.645098357906527909e-17
2.5	14	1.517883041479710522e-17	-3.859474490987145021e-17
2.5	15	5.421010862427534496e-18	-2.208852587360312558e-17
2.5	16	-7.589415207398527957e-18	-2.478607177313342665e-17
2.5	17	-1.463672932855432219e-17	-1.976045361845818474e-17
2.5	18	-7.589415207398532579e-18	-1.197620499716243972e-17
2.5	19	3.252606517456514843e-18	-7.552876868765566404e-18
2.5	20	2.222614453595288404e-17	-1.956638933515291286e-17
2.5	21	2.561427632496995905e-17	1.006942512809136177e-17
2.5	22	1.531435568635769775e-17	5.068326874665827274e-18
2.5	23	-1.870248747537500387e-17	-1.632809034229572668e-17
2.5	24	-8.131516293641340263e-18	-7.160714544172823183e-18
2.5	25	1.192622389734054569e-17	-2.019795969819148447e-18
2.5	26	-1.480613591800522848e-17	-8.831918035764527203e-18
2.5	27	1.585645677260053624e-17	-1.819883273739698368e-17
2.5	28	5.149960319306163010e-18	1.867792359275987498e-17
2.5	29	-2.129440829397338170e-17	3.633505381312512955e-18
2.5	30	1.931235119739764406e-17	1.190144428426619878e-17
4.0	0	-2.775557561562877176e-17	-5.044980912341001752e-18
4.0	1	-6.938893903907228378e-18	-4.112660784991386828e-18
4.0	2	-4.163336342344317305e-17	1.944828003239611584e-17
4.0	3	1.734723475976812641e-17	-2.360410386523565928e-17
4.0	4	1.561251128379138711e-17	-4.468697483459074659e-17
4.0	5	-4.510281037539671328e-17	6.700743599037313978e-17
4.0	6	-4.510281037539676259e-17	5.436858743925213093e-17
4.0	7	-5.724587470723410410e-17	1.025645093302136160e-16
4.0	8	3.469446951953618811e-18	-1.464889722238376168e-17
4.0	9	-1.821459649775639129e-17	4.296739832612399379e-17
4.0	10	1.040834085586085027e-17	-1.113838534144128086e-17
4.0	11	2.602085213965218345e-18	-1.380183474430441617e-17
4.0	12	-1.214306433183764350e-17	-9.693274505313938078e-18
4.0	13	-4.770489558936194858e-18	2.787851734862305723e-17
4.0	14	2.168404344971012720e-18	1.430577705862287953e-17
4.0	15	-9.107298248878240327e-18	-1.110257511601676533e-17
4.0	16	-3.903127820947782066e-18	3.147464543796343202e-17
4.0	17	-5.637851296924608420e-18	8.617799782406437013e-18
4.0	18	-1.138412281109776882e-17	1.308902316857599916e-17
4.0	19	7.047314121155772658e-18	8.546926230785060347e-18
4.0	20	-3.957337929572090414e-18	6.417492597235823848e-18
4.0	21	-3.144186300207962088e-18	4.992153342682785119e-18
4.0	22	1.680513367352530717e-18	4.520132743133331866e-18
4.0	23	4.634964287375537618e-18	-2.430878007885270507e-18
4.0	24	-8.510987054011225214e-18	-2.427892942298517897e-18
4.0	25	-4.689174395999805136e-18	1.615159328666749386e-18
4.0	26	-3.997995511040304534e-18	-3.054112790726656888e-18
4.0	27	1.015084283989550599e-17	-3.874920421694690689e-18
4.0	28	3.347474207548984925e-18	2.860591869243787839e-18
4.0	29	-9.554531645028804418e-19	4.949794257191573170e-18
4.0	30	-7.040537857577698196e-18	7.736737984823718022e-18
5.5	0	5.247538514829921579e-17	-2.994304829118049446e-18
5.5	1	4.531965080989457838e-17	-9.296488307280377998e-18
5.5	2	-4.651227319962759788e-17	2.516408490783785154e-17
5.5	3	5.903480829183659157e-17	-4.326087098012994752e-17
5.5	4	4.710858439449595652e-17	-5.489302817092617548e-17
5.5	5	2.802662615875067172e-17	-4.530780228592239545e-17
5.5	6	5.128276275856558000e-17	-8.450200881477511990e-17
5.5	7	-1.729302465114365089e-17	3.021484941923901527e-17
5.5	8	2.862293735361790254e-17	-6.580096733170673438e-17
5.5	9	1.938011383317872456e-17	-4.916254375810215459e-17
5.5	10	2.713215936645046953e-17	-7.072324255785224981e-17
5.5	11	1.595132446269331987e-17	-4.901655939963841524e-17
5.5	12	1.132991270247374320e-17	-3.876802281896746172e-17
5.5	13	2.385244779468129784e-18	-1.102314587195568490e-17
5.5	14	3.577867169202191595e-18	-1.363860203926904882e-17
5.5	15	4.397795062144371272e-18	-1.251577842380430859e-17
5.5	16	6.037650848028707513e-18	-1.402109018899205581e-17
5.5	17	-1.416239087809172834e-18	-1.082039082095308427e-17
5.5	18	-3.279711571768646291e-18	3.790649039772675718e-19
5.5	19	7.453889935837916169e-19	5.113714349376557214e-18
5.5	20	3.931926941154495300e-18	-6.556538489850713013e-18
5.5	21	5.404070203482457348e-19	-5.462396513107588470e-18
5.5	22	-1.378969638129986122e-18	-7.207971593063034696e-18
5.5	23	1.742346772502105812e-18	-4.417841851186196589e-18
5.5	24	3.978513753253482589e-18	-5.062978880520082739e-18
5.5	25	2.338657967369148658e-18	-3.060802180957658263e-18
